Oblast;Misto_odberu;;Group2;Group32;Jednotka;Group33;Hodnota;Počet_hodnot_OUT2;Počet_hodnot_IN3;Počet_hodnot3;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;teplota;°C;23.7.2024;13,3;0;;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;zákal;ZF(n);23.7.2024;0,5;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;železo;mg/l;23.7.2024;0,04;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;;;;;;;;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901246080;barva;mg/l Pt;25.3.2024;2;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901246080;Clostridium perfringens;KTJ (MPN)/100 ml;25.3.2024;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901246080;dusitany;mg/l;25.3.2024;0,014;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901246080;Escherichia coli;KTJ (MPN)/100 ml;25.3.2024;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901246080;CHSK-Mn;mg/l;25.3.2024;1,2;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901246080;chuť;Neurčená jednotka;25.3.2024;PRIJAT;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901246080;intestinální enterokoky;KTJ (MPN)/100 ml;25.3.2024;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901246080;koliformní bakterie;KTJ (MPN)/100 ml;25.3.2024;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901246080;MO - abioseston;procenta;25.3.2024;1;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901246080;MO - počet organismů;jedinci/ml;25.3.2024;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901246080;MO - živé organismy;jedinci/ml;25.3.2024;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901246080;pach;Neurčená jednotka;25.3.2024;PRIJAT;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901246080;pH;Neurčená jednotka;25.3.2024;7,1;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901246080;počty kolonií při 22 °C;KTJ/ml;25.3.2024;2;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901246080;počty kolonií při 36 °C;KTJ/ml;25.3.2024;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901246080;teplota;°C;25.3.2024;8,9;0;;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901246080;zákal;ZF(n);25.3.2024;0,8;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901246080;železo;mg/l;25.3.2024;0,04;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901246080;;;;;;;;;;;;
ARCHIV Blansko - skupinový vodovod;Spešov, VDJ, upravená voda;;CI000001249012221490;barva;mg/l Pt;10.10.2022;13;0;1;1;;;;;
ARCHIV Blansko - skupinový vodovod;Spešov, VDJ, upravená voda;;CI000001249012221490;Clostridium perfringens;KTJ (MPN)/100 ml;10.10.2022;0;0;1;1;;;;;
ARCHIV Blansko - skupinový vodovod;Spešov, VDJ, upravená voda;;CI000001249012221490;dusitany;mg/l;10.10.2022;0,014;0;1;1;;;;;
ARCHIV Blansko - skupinový vodovod;Spešov, VDJ, upravená voda;;CI000001249012221490;Escherichia coli;KTJ (MPN)/100 ml;10.10.2022;0;0;1;1;;;;;
ARCHIV Blansko - skupinový vodovod;Spešov, VDJ, upravená voda;;CI000001249012221490;CHSK-Mn;mg/l;10.10.2022;0,4;0;1;1;;;;;
